id;nome;email;telefone;data_nascimento;cidade;estado;cep;renda_mensal;data_compra_mais_recente;valor_compra_mais_recente;ativo;categoria_cliente
1;  Ulisses Duarte  ;  ulissesduarte@outlook.com  ;  (92) 91424-7912  ;11/03/1962;Recife;AM;85231-714;R$ 600,00;04-04-2025; 600,00 ;TRUE;Bronze
2;Mariana Duarte;marianaduarte@outlook.com;(92) 92045-7201;2004-04-29;Goiânia;GO;89108-464;R$ 600,00;22/03/2024;R$ 600,00;Não;Platinum
3;  Vitória Uchoa  ;vitoriauchoa@hotmail.com;(67 ) 99125-4598;08/01/1969;São Paulo;PR;96358-405;600;03-08-2025;R$600,00;FALSE;Silver
4;Rafael Ibrahim;rafaelibrahim@yahoo.com.br;(47) 98348-9085;13 Sep 1950;Belo Horizonte;RJ;83753-698;R$600,00;24-04-2025; 600,00 ;TRUE;Bronze
5;  Felipe Oliveira  ;felipeoliveira@outlook.com;55 41 948899317;26-09-1998;Goiânia;BA;81898-246; 600,00 ;2024-04-24;R$ 600,00;TRUE;Silver
6;Yasmin Ribeiro;yasminribeiro@hotmail.com;+5591999387932;08 Jun 1991;Recife;PE;99277-567;600;18/08/2024;R$600,00;FALSE;Bronze
7;  Bruno Klein  ;brunoklein@hotmail.com; (86) 93981-8749 ;25/11/1986;Belo Horizonte;SC;83580254;R$600,00;10/04/2024;R$600,00;1;Gold
8;Carla Oliveira;carlaoliveira@empresa.com.br;+5511915284872;01/01/1979;Londrina;PE;98211-677;R$ 600,00;2024-09-28;600.00;TRUE;Platinum
9;Rafael Barbosa;rafaelbarbosa@gmail.com;  55 91 925791931  ;10/04/1955;  Florianópolis  ;SP;99125-578;600.00;31/08/2025;R$600,00;Não;Platinum
10;Mariana Esteves;marianaesteves@outlook.com;(11) 97508-2638;25-02-1978;Joinville;SC;98173-306;R$ 600,00;10-07-2025;600.00;TRUE;Bronze
11;Xavier Ribeiro;xavierribeiro@outlook.com;67982809004;27-04-1945;  São Paulo  ;PE;98379009;600;25/09/2024;R$ 600,00;0;Platinum
12;Lucas Silva;lucassilva@yahoo.com.br;(21 ) 95862-4441;1958-11-13;Belo Horizonte;BA;90885-801;R$600,00;2024-06-30; 600,00 ;Sim;Silver
13;  Zuleica Watanabe  ;zuleicawatanabe@gmail.com;+5585957286000;07/03/1976;Recife;RS;88559-182;R$ 600,00;2025-07-03;600;Sim;Bronze
14;Zuleica Klein;zuleicaklein@empresa.com.br;55 21 971441027;01/03/1973;Recife;SP;90688-412;600;03-11-2024; 600,00 ;TRUE;Platinum
15;Xavier Ferreira;; (61) 97043-6279 ;06/18/1970;Recife;DF;87361825;600.00;09/12/2024;R$ 600,00;No;Gold
16;Carla Oliveira;carlaoliveira@empresa.com.br;(62) 92417-1090;07/04/1949;Fortaleza;GO;97404-572; 600,00 ;2024-05-04;R$600,00;Yes;Platinum
17;Quésia Nogueira;quesianogueira@empresa.com.br;(85 ) 94246-5050;14-12-1951;Joinville;MG;84534-154;600;2024-12-09;R$600,00;   sim   ;Bronze
18;Rafael Oliveira;rafaeloliveira@hotmail.com;   (11) 99432-7232   ;12/30/1993;Goiânia;PE;95913-029;R$600,00;14/05/2025; 600,00 ;TRUE;Platinum
19;Eduarda Teixeira;  eduardateixeira@yahoo.com.br  ;  +5584922238564  ;06-01-1979;Brasília;CE;80635-767;600;2025-03-07;600;Não;Platinum
20;Ulisses Barbosa;ulissesbarbosa157@hotmail.com; (86) 91874-4571 ;27/11/1972;Goiânia;AM;86498-077;R$ 600,00;15-11-2024;600.00;1;Platinum
21;Vitória Teixeira;vitoriateixeira@empresa.com.br;(81 ) 91129-9289;08 Jan 2002;Campinas;SP;97634-793;R$600,00;21/03/2025;600;   sim   ;Gold
22;Carla Ibrahim;carlaibrahim@hotmail.com;79904709098;26-06-1998;Recife;RS;93317-500;600;13/06/2025;600;Não;Silver
23;Ana Cardoso;anacardoso@yahoo.com.br;86990689698;1967-07-22;Belém;CE;86276-221;600;2024-07-16;600;Não;Silver
24;Diego Gonçalves;  diegogoncalves547@outlook.com  ;(21 ) 90893-5786;11 Feb 1987;  Londrina  ;PR;83738841; 600,00 ;07/07/2024;600;TRUE;Platinum
25;Zuleica Silva;zuleicasilva@gmail.com; (62) 98561-7232 ;18/09/2000;Manaus;PE;82660-160;600;11/04/2024; 600,00 ;No;Gold
26;  Paula Jardim  ;paulajardim@outlook.com;   (62) 94334-4241   ;1950-05-09;Fortaleza;RS;95358-705;600.00;2025-08-05;R$ 600,00;0;Bronze
27;Tiago Barbosa;tiagobarbosa235@outlook.com;+5511944151659;13 Dec 2001;Maringá;RJ;90520686; 600,00 ;2025-04-26;R$600,00;1;Gold
28;Mariana Yamamoto;  marianayamamoto@yahoo.com.br  ;;10 Nov 2000;Maringá;MG;89438-448; 600,00 ;22/02/2024;600;TRUE;Silver
29;Wagner Ferreira;wagnerferreira@gmail.com;(41 ) 97560-2924;11 Apr 1982;Londrina;RS;92569-195; 600,00 ;2024-09-06;600;   sim   ;Silver
