id,nome,email,telefone,data_nascimento,cidade,estado,cep,renda_mensal,data_compra_mais_recente,valor_compra_mais_recente,ativo,categoria_cliente
1,Ulisses Duarte,ulissesduarte@outlook.com,92914247912,11/03/1962,Recife,AM,85231714,"600,00",04/04/2025,"600,00",SIM,Bronze
2,Mariana Duarte,marianaduarte@outlook.com,92920457201,29/04/2004,Goiania,GO,89108464,"600,00",22/03/2024,"600,00",NAO,Platinum
3,Vitoria Uchoa,vitoriauchoa@hotmail.com,67991254598,08/01/1969,Sao Paulo,PR,96358405,"600,00",03/08/2025,"600,00",NAO,Silver
4,Rafael Ibrahim,rafaelibrahim@yahoo.com.br,47983489085,13/09/1950,Belo Horizonte,RJ,83753698,"600,00",24/04/2025,"600,00",SIM,Bronze
5,Felipe Oliveira,felipeoliveira@outlook.com,41948899317,26/09/1998,Goiania,BA,81898246,"600,00",24/04/2024,"600,00",SIM,Silver
6,Yasmin Ribeiro,yasminribeiro@hotmail.com,91999387932,08/06/1991,Recife,PE,99277567,"600,00",18/08/2024,"600,00",NAO,Bronze
7,Bruno Klein,brunoklein@hotmail.com,86939818749,25/11/1986,Belo Horizonte,SC,83580254,"600,00",10/04/2024,"600,00",SIM,Gold
8,Carla Oliveira,carlaoliveira@empresa.com.br,11915284872,01/01/1979,Londrina,PE,98211677,"600,00",28/09/2024,"600,00",SIM,Platinum
9,Rafael Barbosa,rafaelbarbosa@gmail.com,91925791931,10/04/1955,  Florianopolis  ,SP,99125578,"600,00",31/08/2025,"600,00",NAO,Platinum
10,Mariana Esteves,marianaesteves@outlook.com,11975082638,25/02/1978,Joinville,SC,98173306,"600,00",10/07/2025,"600,00",SIM,Bronze
11,Xavier Ribeiro,xavierribeiro@outlook.com,67982809004,27/04/1945,  Sao Paulo  ,PE,98379009,"600,00",25/09/2024,"600,00",NAO,Platinum
12,Lucas Silva,lucassilva@yahoo.com.br,21958624441,13/11/1958,Belo Horizonte,BA,90885801,"600,00",30/06/2024,"600,00",SIM,Silver
13,Zuleica Watanabe,zuleicawatanabe@gmail.com,85957286000,07/03/1976,Recife,RS,88559182,"600,00",03/07/2025,"600,00",SIM,Bronze
14,Zuleica Klein,zuleicaklein@empresa.com.br,21971441027,01/03/1973,Recife,SP,90688412,"600,00",03/11/2024,"600,00",SIM,Platinum
15,Xavier Ferreira,,61970436279,06/18/1970,Recife,DF,87361825,"600,00",09/12/2024,"600,00",NAO,Gold
16,Carla Oliveira,carlaoliveira@empresa.com.br,62924171090,07/04/1949,Fortaleza,GO,97404572,"600,00",04/05/2024,"600,00",SIM,Platinum
17,Quesia Nogueira,quesianogueira@empresa.com.br,85942465050,14/12/1951,Joinville,MG,84534154,"600,00",09/12/2024,"600,00",SIM,Bronze
18,Rafael Oliveira,rafaeloliveira@hotmail.com,11994327232,12/30/1993,Goiania,PE,95913029,"600,00",14/05/2025,"600,00",SIM,Platinum
19,Eduarda Teixeira,eduardateixeira@yahoo.com.br,84922238564,06/01/1979,Brasilia,CE,80635767,"600,00",07/03/2025,"600,00",NAO,Platinum
20,Ulisses Barbosa,ulissesbarbosa157@hotmail.com,86918744571,27/11/1972,Goiania,AM,86498077,"600,00",15/11/2024,"600,00",SIM,Platinum
21,Vitoria Teixeira,vitoriateixeira@empresa.com.br,81911299289,08/01/2002,Campinas,SP,97634793,"600,00",21/03/2025,"600,00",SIM,Gold
22,Carla Ibrahim,carlaibrahim@hotmail.com,79904709098,26/06/1998,Recife,RS,93317500,"600,00",13/06/2025,"600,00",NAO,Silver
23,Ana Cardoso,anacardoso@yahoo.com.br,86990689698,22/07/1967,Belem,CE,86276221,"600,00",16/07/2024,"600,00",NAO,Silver
24,Diego Goncalves,diegogoncalves547@outlook.com,21908935786,11Feb1987,  Londrina  ,PR,83738841,"600,00",07/07/2024,"600,00",SIM,Platinum
25,Zuleica Silva,zuleicasilva@gmail.com,62985617232,18/09/2000,Manaus,PE,82660160,"600,00",11/04/2024,"600,00",NAO,Gold
26,Paula Jardim,paulajardim@outlook.com,62943344241,09/05/1950,Fortaleza,RS,95358705,"600,00",05/08/2025,"600,00",NAO,Bronze
27,Tiago Barbosa,tiagobarbosa235@outlook.com,11944151659,13/12/2001,Maringa,RJ,90520686,"600,00",26/04/2025,"600,00",SIM,Gold
28,Mariana Yamamoto,marianayamamoto@yahoo.com.br,nan,10/11/2000,Maringa,MG,89438448,"600,00",22/02/2024,"600,00",SIM,Silver
29,Wagner Ferreira,wagnerferreira@gmail.com,41975602924,11/04/1982,Londrina,RS,92569195,"600,00",06/09/2024,"600,00",SIM,Silver
30,Zuleica Nogueira,zuleicanogueira744@empresa.com.br,86924348316,14/11/1973,Belem,BA,93460044,"600,00",01/09/2024,"600,00",SIM,Silver
31,Zuleica Uchoa,zuleicauchoa@yahoo.com.br,79916448213,18/09/1951,  Maringa  ,RJ,90766872,"600,00",28/09/2024,"600,00",SIM,Bronze
32,Paula Ribeiro,paularibeiro@gmail.com,62914808110,16/02/1949,Belo Horizonte,GO,84770250,"600,00",27/10/2024,"600,00",NAO,Platinum
33,Mariana Teixeira,marianateixeira@yahoo.com.br,67975295183,18/08/1951,Maringa,PA,94969865,"600,00",24/08/2025,"600,00",SIM,Gold
34,Lucas Silva,"lucassilva@outlook,com",11992721803,25/08/1964,Manaus,MG,90123807,"600,00",20/05/2024,"600,00",NAO,Bronze
35,Xavier Nogueira,xaviernogueira@hotmail.com,91944653695,07/01/1987,Londrina,RS,82959809,"600,00",19/08/2024,"600,00",SIM,Gold
36,Iara Silva,iarasilva@outlook.com,92953744626,17/07/1957,Maringa,RS,87693908,"600,00",07/11/2024,"600,00",NAO,Bronze
37,Rafael Nogueira,rafaelnogueira@hotmail.com,84945831536,08/07/2006,Maringa,MG,86219991,"600,00",02/01/2025,"600,00",SIM,Gold
38,Tiago Almeida,tiagoalmeida@outlook.com,31990804394,16/11/1969,Fortaleza,RJ,80844134,"600,00",07/07/2025,"600,00",SIM,Bronze
39,Bruno Esteves,brunoesteves@empresa.com.br,81984082786,04/02/1986,Sao Paulo,PA,96065729,"600,00",05/05/2025,"600,00",SIM,Bronze
40,Iara Teixeira,iarateixeira@empresa.com.br,71974339282,02/08/1983,Belo Horizonte,PA,93631747,"600,00",27/02/2025,"600,00",NAO,Platinum
41,Paula Cardoso,paulacardoso@gmail.com,47991151982,13/08/1949,Belem,PE,85070672,"600,00",26/12/2024,"600,00",SIM,Silver
42,Iara Silva,iarasilva@yahoo.com.br,92904305381,11/08/1957,Manaus,SC,97382220,"600,00",12/03/2024,"600,00",SIM,Bronze
43,Sonia Teixeira,soniateixeira@gmail.com,nan,20/12/1975,Maringa,MG,81488225,"600,00",30/08/2025,"600,00",SIM,Gold
44,Eduarda Yamamoto,,47962299725,07/09/1946,  Goiania  ,GO,93686296,"600,00",16/11/2024,"600,00",SIM,Platinum
45,Wagner Lima,wagnerlima@gmail.com,83950836562,02/10/1990,  Florianopolis  ,PA,83368149,"600,00",23/12/2024,"600,00",SIM,Silver
46,Yasmin Uchoa,yasminuchoa@empresa.com.br,79951793473,15/01/1950,Maringa,DF,81864377,"600,00",13/11/2024,"600,00",NAO,Bronze
47,Quesia Mendes,quesiamendes@empresa.com.br,61952678792,08/04/1990,Sao Paulo,DF,91924381,"600,00",24/03/2025,"600,00",SIM,Silver
48,Ulisses Uchoa,ulissesuchoa@outlook.com,47954612335,21/05/1998,Goiania,PA,97248095,"600,00",20/01/2025,"600,00",NAO,Silver
49,Gabriela Klein,gabrielaklein@yahoo.com.br,71916579317,01/08/1998,  Joinville  ,SC,81431420,"600,00",04/07/2024,"600,00",SIM,Platinum
50,Zuleica Oliveira,zuleicaoliveira@hotmail.com,61960268218,01/04/1999,Brasilia,PE,98171956,"600,00",23/02/2024,"600,00",NAO,Gold
51,Iara Oliveira,iaraoliveira@hotmail.com,85957271436,22/02/1965,Joinville,PE,84508039,"600,00",11/04/2024,"600,00",NAO,Silver
52,Otavio Teixeira,"otavioteixeira@gmail,com",91969342821,21/08/1950,  Belo Horizonte  ,PE,96887588,"600,00",26/05/2025,"600,00",SIM,Bronze
53,Nataly Ferreira,natalyferreira@gmail.com,92983129316,17/06/1946,  Londrina  ,PE,84371045,"600,00",19/12/2024,"600,00",NAO,Gold
54,Wagner Pereira,wagnerpereira@hotmail.com,71933021717,22/06/1987,Belem,BA,90876279,"600,00",14/07/2024,"600,00",NAO,Bronze
55,Mariana Klein,marianaklein@yahoo.com.br,67913537955,03/06/1974,Florianopolis,SC,94651043,"600,00",12/03/2025,"600,00",NAO,Gold
56,Zuleica Barbosa,zuleicabarbosa@yahoo.com.br,11923398179,22/11/1995,Fortaleza,SC,82519587,"600,00",05/04/2025,"600,00",NAO,Platinum
57,Ana Xavier,anaxavier@empresa.com.br,67973114515,28/06/1960,Londrina,RJ,98022555,"600,00",23/11/2024,"600,00",NAO,Bronze
58,Felipe Zanetti,felipezanetti@hotmail.com,86904306912,26/09/1952,Maringa,BA,98838075,"600,00",05/05/2025,"600,00",SIM,Platinum
59,Eduarda Yamamoto,eduardayamamoto@empresa.com.br,21920349488,22/07/1991,Florianopolis,GO,84101640,"600,00",13/09/2024,"600,00",SIM,Gold
60,Eduarda Ferreira,eduardaferreira@empresa.com.br,11913301744,15/06/2000,Salvador,DF,88024824,"600,00",12/07/2025,"600,00",SIM,Platinum
61,Nataly Pereira,natalypereira@outlook.com,81965323142,03/05/1985,Belo Horizonte,CE,88135985,"600,00",21/02/2024,"600,00",SIM,Platinum
62,Yasmin Ferreira,yasminferreira@empresa.com.br,31964429281,05/26/1989,Recife,PR,83522441,"600,00",26/04/2025,"600,00",SIM,Bronze
63,Bruno Silva,brunosilva@outlook.com,92945822946,11/12/1957,Brasilia,SC,81275140,"600,00",15/02/2025,"600,00",SIM,Bronze
64,Eduarda Klein,eduardaklein@outlook.com,71997276511,18/01/1978,Londrina,RS,99559485,"600,00",02/03/2025,"600,00",SIM,Bronze
65,Bruno Silva,brunosilva@empresa.com.br,47939681517,03/08/1958,Belo Horizonte,CE,84524531,"600,00",24/02/2025,"600,00",NAO,Bronze
